epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.94669,1.69768,3.58535,1.77113,0.00975,0.63636,0.24115,0.17985,0.9967,3.17382,1.20936,0.00012861,0.00012861,0.00012861
2,7.16383,1.16639,2.76553,1.32473,0.00982,0.66667,0.50386,0.37222,0.85766,2.85545,0.99857,0.000271241,0.000271241,0.000271241
3,10.044,1.07314,2.15376,1.2578,0.01583,0.66667,0.65333,0.43136,0.76708,2.77905,1.1083,0.000413589,0.000413589,0.000413589
4,12.9263,1.08019,1.81878,1.28014,0.01169,0.63636,0.43727,0.3472,0.81372,2.69034,1.08174,0.000555655,0.000555655,0.000555655
5,15.7919,1.01863,1.55278,1.21592,1,0.1147,0.64353,0.47287,0.84452,2.31895,1.28243,0.000697437,0.000697437,0.000697437
6,18.4671,0.98956,1.48567,1.21481,0.96261,0.33333,0.59729,0.49929,0.72603,2.15166,1.18453,0.000838937,0.000838937,0.000838937
7,21.1429,0.96516,1.35889,1.19357,0.91344,0.33333,0.60427,0.47022,0.81684,1.92489,1.16413,0.000980153,0.000980153,0.000980153
8,23.9174,1.00396,1.33067,1.2249,0.86937,0.47416,0.64917,0.52438,0.80062,1.74032,1.16738,0.00112109,0.00112109,0.00112109
9,26.6913,1.04584,1.30322,1.22301,0.69086,0.52844,0.62135,0.48675,0.83288,1.69723,1.16745,0.00126174,0.00126174,0.00126174
10,29.4261,1.07788,1.3768,1.23486,0.7904,0.48346,0.61788,0.44943,0.87379,1.70872,1.22289,0.0014021,0.0014021,0.0014021
11,32.1633,0.87353,1.20724,1.13675,0.99488,0.33333,0.58455,0.43891,0.82614,1.71318,1.17358,0.00141485,0.00141485,0.00141485
12,35.0351,0.96104,1.17369,1.1502,0.93463,0.6473,0.65872,0.51247,0.95181,1.10176,1.27208,0.00141344,0.00141344,0.00141344
13,37.8114,0.91024,1.1065,1.13386,0.72743,0.51515,0.54197,0.4344,0.74671,1.37023,1.11735,0.00141202,0.00141202,0.00141202
14,40.6194,0.94879,1.09528,1.15638,0.97509,0.65692,0.66333,0.53027,0.71596,0.99973,1.08648,0.00141061,0.00141061,0.00141061
15,43.469,0.89953,1.08869,1.14537,0.89921,0.58003,0.55719,0.41528,0.96624,1.29814,1.29261,0.00140919,0.00140919,0.00140919
16,46.3566,0.94578,1.06779,1.14132,0.95476,0.43334,0.54522,0.40423,1.18925,1.39347,1.38915,0.00140778,0.00140778,0.00140778
17,49.1115,0.92007,0.97719,1.12152,0.87354,0.45455,0.51895,0.36638,0.97753,1.44572,1.26139,0.00140636,0.00140636,0.00140636
18,52.021,0.92038,1.02238,1.1455,0.66113,0.39394,0.35897,0.2828,0.90906,1.96309,1.1196,0.00140495,0.00140495,0.00140495
19,54.9879,0.91433,1.00416,1.13294,0.82322,0.54545,0.57823,0.44728,0.83791,1.24826,1.15562,0.00140354,0.00140354,0.00140354
20,57.7649,0.88355,0.98048,1.10987,0.99452,0.66667,0.66333,0.50264,0.94832,0.95128,1.33461,0.00140212,0.00140212,0.00140212
21,60.6712,0.91466,0.98367,1.15215,0.98092,0.63636,0.66083,0.56676,0.63343,0.9077,1.06941,0.00140071,0.00140071,0.00140071
22,63.5811,0.84846,0.92714,1.11912,0.98458,0.66667,0.66333,0.56639,0.61397,0.82459,1.03752,0.00139929,0.00139929,0.00139929
23,66.4877,0.87056,0.89706,1.13473,0.99311,0.66667,0.66333,0.53735,0.70042,0.76905,1.0725,0.00139788,0.00139788,0.00139788
24,69.6177,0.87243,0.91789,1.12754,0.97721,0.63636,0.66083,0.52145,0.78558,0.95176,1.10908,0.00139646,0.00139646,0.00139646
25,72.5391,0.87955,0.93649,1.11903,0.99406,0.66647,0.66333,0.5553,0.76656,0.80495,1.08893,0.00139505,0.00139505,0.00139505
26,75.54,0.84758,0.88346,1.11575,0.996,0.66631,0.66333,0.56656,0.66454,0.70211,1.06478,0.00139363,0.00139363,0.00139363
27,78.3696,0.87457,0.9105,1.14175,0.99472,0.66667,0.66333,0.55684,0.64157,0.62119,1.04812,0.00139222,0.00139222,0.00139222
28,81.3138,0.91682,0.84783,1.1309,0.99145,0.66667,0.66333,0.57773,0.69795,0.66349,1.07251,0.0013908,0.0013908,0.0013908
29,84.2477,0.93939,0.84868,1.13307,0.72263,0.63636,0.56798,0.39964,1.22876,1.16747,1.34198,0.00138939,0.00138939,0.00138939
30,87.1719,0.86121,0.80107,1.08003,0.91634,0.64406,0.65833,0.37977,1.31463,0.97896,1.46761,0.00138797,0.00138797,0.00138797
31,90.4887,0.85346,0.77439,1.0983,0.99408,0.63636,0.66083,0.55112,0.73421,0.54075,1.10276,0.00138656,0.00138656,0.00138656
32,93.7223,0.79088,0.79921,1.09349,0.99063,0.66667,0.66333,0.55552,0.66429,0.56247,1.06359,0.00138514,0.00138514,0.00138514
33,96.985,0.85044,0.80589,1.11591,0.99354,0.66667,0.66333,0.57773,0.65159,0.52728,1.0447,0.00138373,0.00138373,0.00138373
34,100.22,0.80125,0.73342,1.09581,0.98819,0.63636,0.66083,0.55621,0.6766,0.54369,1.07512,0.00138231,0.00138231,0.00138231
35,103.324,0.80467,0.72205,1.07285,0.99382,0.63636,0.6569,0.57482,0.65068,0.52283,1.03813,0.0013809,0.0013809,0.0013809
36,106.709,0.78844,0.73356,1.06598,0.99007,0.66667,0.66333,0.58395,0.61216,0.52267,1.03539,0.00137949,0.00137949,0.00137949
37,109.833,0.82102,0.69575,1.07953,0.99305,0.66667,0.66333,0.57618,0.60336,0.50803,0.99266,0.00137807,0.00137807,0.00137807
38,112.931,0.79645,0.75745,1.08006,0.9943,0.66667,0.66333,0.58926,0.60882,0.49694,0.99733,0.00137666,0.00137666,0.00137666
39,115.993,0.84483,0.74297,1.1142,0.96539,0.66667,0.66083,0.584,0.6381,0.55229,1.00844,0.00137524,0.00137524,0.00137524
40,118.983,0.76918,0.70187,1.06803,0.99547,0.66397,0.66333,0.57314,0.63407,0.57269,1.02906,0.00137383,0.00137383,0.00137383
41,121.888,0.72941,0.66049,1.04513,0.99635,0.66667,0.66333,0.57905,0.63955,0.42961,1.03999,0.00137241,0.00137241,0.00137241
42,124.81,0.80835,0.70461,1.09308,0.99461,0.66667,0.66333,0.59072,0.55517,0.40069,1.01038,0.001371,0.001371,0.001371
43,127.784,0.79158,0.65153,1.08816,0.99516,0.66667,0.66333,0.57729,0.65876,0.45175,1.03405,0.00136958,0.00136958,0.00136958
44,130.77,0.73933,0.64205,1.04522,0.99401,0.66667,0.66333,0.57919,0.58047,0.44533,1.0228,0.00136817,0.00136817,0.00136817
45,133.677,0.77973,0.68817,1.04445,0.99183,0.66667,0.66333,0.58221,0.58386,0.47658,1.02477,0.00136675,0.00136675,0.00136675
46,136.642,0.75375,0.62903,1.0309,0.99143,0.66667,0.66333,0.59005,0.59495,0.47383,1.02331,0.00136534,0.00136534,0.00136534
47,139.649,0.78427,0.66627,1.05681,0.99,0.66667,0.66333,0.60193,0.5164,0.44988,0.99264,0.00136392,0.00136392,0.00136392
48,142.578,0.84196,0.66547,1.09871,0.99039,0.66667,0.66333,0.60417,0.54774,0.42294,1.01696,0.00136251,0.00136251,0.00136251
49,145.476,0.79806,0.6591,1.08235,0.99442,0.66667,0.66333,0.58244,0.57686,0.45158,1.04942,0.00136109,0.00136109,0.00136109
50,148.48,0.7869,0.64722,1.05553,0.99561,0.66667,0.66333,0.58393,0.5806,0.40031,1.02524,0.00135968,0.00135968,0.00135968
51,151.367,0.73208,0.59571,1.04348,0.99298,0.66667,0.66333,0.55595,0.71142,0.46755,1.09598,0.00135826,0.00135826,0.00135826
52,154.316,0.77556,0.59716,1.06884,0.99058,0.66667,0.66333,0.55555,0.72657,0.43061,1.07506,0.00135685,0.00135685,0.00135685
53,157.256,0.75568,0.60374,1.05104,0.99403,0.66667,0.66333,0.56574,0.61976,0.39598,1.05928,0.00135544,0.00135544,0.00135544
54,160.216,0.77744,0.61239,1.07591,0.993,0.66667,0.66333,0.58409,0.54852,0.37671,1.00887,0.00135402,0.00135402,0.00135402
55,163.131,0.71251,0.58435,1.04976,0.99675,0.66667,0.66333,0.58927,0.58026,0.36415,1.0112,0.00135261,0.00135261,0.00135261
56,166.073,0.75551,0.61127,1.06108,0.99571,0.66667,0.66333,0.58125,0.60936,0.36542,1.01558,0.00135119,0.00135119,0.00135119
57,168.979,0.72878,0.58976,1.04403,0.99677,0.66667,0.66333,0.59311,0.59569,0.37327,1.00599,0.00134978,0.00134978,0.00134978
58,171.882,0.75554,0.59562,1.02917,0.99362,0.66667,0.66333,0.58801,0.57196,0.37211,1.00569,0.00134836,0.00134836,0.00134836
59,174.886,0.71211,0.5632,1.01965,0.99437,0.66667,0.66333,0.58884,0.53219,0.37053,0.99359,0.00134695,0.00134695,0.00134695
60,177.818,0.69888,0.55617,1.04088,0.99383,0.66667,0.66333,0.59244,0.55235,0.36367,0.99888,0.00134553,0.00134553,0.00134553
61,180.736,0.7423,0.57934,1.06131,0.99657,0.66667,0.66333,0.59865,0.51619,0.35313,0.98502,0.00134412,0.00134412,0.00134412
62,183.672,0.70249,0.53581,1.01708,0.99656,0.66667,0.66333,0.60644,0.51308,0.33793,0.98196,0.0013427,0.0013427,0.0013427
63,186.617,0.75397,0.57974,1.04807,0.99375,0.66667,0.66333,0.58024,0.59316,0.3822,0.99712,0.00134129,0.00134129,0.00134129
64,189.698,0.74075,0.56228,1.03473,0.9935,0.66667,0.66333,0.5989,0.52874,0.41155,0.99202,0.00133987,0.00133987,0.00133987
65,192.67,0.75767,0.62749,1.08132,0.98973,0.66667,0.66333,0.59964,0.52247,0.43335,0.97349,0.00133846,0.00133846,0.00133846
66,195.709,0.78292,0.58657,1.04833,0.98743,0.66667,0.66333,0.57131,0.58143,0.43732,0.99281,0.00133704,0.00133704,0.00133704
67,198.603,0.75999,0.57788,1.06397,0.99273,0.66667,0.66333,0.56955,0.65304,0.39758,1.03031,0.00133563,0.00133563,0.00133563
68,201.521,0.6883,0.51784,1.02068,0.99323,0.66667,0.66333,0.57094,0.62184,0.3635,1.04309,0.00133421,0.00133421,0.00133421
69,204.433,0.75505,0.5599,1.04372,0.99242,0.66667,0.66333,0.59188,0.50357,0.36267,0.96348,0.0013328,0.0013328,0.0013328
70,207.377,0.77055,0.57978,1.05489,0.99246,0.66667,0.66333,0.5853,0.57317,0.36399,1.00542,0.00133139,0.00133139,0.00133139
71,210.241,0.71949,0.54974,1.02375,0.98912,0.66667,0.66333,0.5929,0.54773,0.34574,0.97336,0.00132997,0.00132997,0.00132997
72,213.185,0.70787,0.52745,1.04679,0.99599,0.66667,0.66333,0.51349,0.9398,0.41397,1.18604,0.00132856,0.00132856,0.00132856
